ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
SPMO,NVDA,NVIDIA Corp,0.0947,2026-04-16,2026-04-19
SPMO,AVGO,Broadcom Inc,0.0808,2026-04-16,2026-04-19
SPMO,MU,Micron Technology Inc,0.058899999999999994,2026-04-16,2026-04-19
SPMO,GOOGL,Alphabet Inc,0.0506,2026-04-16,2026-04-19
SPMO,JNJ,Johnson & Johnson,0.046900000000000004,2026-04-16,2026-04-19
SPMO,GOOG,Alphabet Inc,0.0403,2026-04-16,2026-04-19
SPMO,LRCX,Lam Research Corp,0.0349,2026-04-16,2026-04-19
SPMO,XOM,Exxon Mobil Corp,0.032799999999999996,2026-04-16,2026-04-19
SPMO,CAT,Caterpillar Inc,0.0277,2026-04-16,2026-04-19
SPMO,AMD,Advanced Micro Devices Inc,0.0262,2026-04-16,2026-04-19
CSD,SNDK,Sandisk Corp/DE,0.09539999999999998,2026-04-16,2026-04-19
CSD,GEV,GE Vernova Inc,0.0803,2026-04-16,2026-04-19
CSD,Q,Qnity Electronics Inc,0.0796,2026-04-16,2026-04-19
CSD,SOLS,Solstice Advanced Materials Inc,0.0733,2026-04-16,2026-04-19
CSD,GEHC,GE HealthCare Technologies Inc,0.0698,2026-04-16,2026-04-19
CSD,VLTO,Veralto Corp,0.0677,2026-04-16,2026-04-19
CSD,ECG,Everus Construction Group Inc,0.042699999999999995,2026-04-16,2026-04-19
CSD,CR,Crane Co,0.0418,2026-04-16,2026-04-19
CSD,VSNT,Versant Media Group Inc,0.0401,2026-04-16,2026-04-19
CSD,ESAB,Esab Corp,0.04,2026-04-16,2026-04-19
XSMO,VIAV,Viavi Solutions Inc,0.0342,2026-04-16,2026-04-19
XSMO,VSAT,Viasat Inc,0.0337,2026-04-16,2026-04-19
XSMO,PRIM,Primoris Services Corp,0.0286,2026-04-16,2026-04-19
XSMO,ESE,ESCO Technologies Inc,0.026600000000000002,2026-04-16,2026-04-19
XSMO,FORM,FormFactor Inc,0.023,2026-04-16,2026-04-19
XSMO,SANM,Sanmina Corp,0.020499999999999997,2026-04-16,2026-04-19
XSMO,KRYS,Krystal Biotech Inc,0.0204,2026-04-16,2026-04-19
XSMO,POWL,Powell Industries Inc,0.0183,2026-04-16,2026-04-19
XSMO,SNEX,StoneX Group Inc,0.018000000000000002,2026-04-16,2026-04-19
XSMO,PTGX,Protagonist Therapeutics Inc,0.0179,2026-04-16,2026-04-19
XMMO,CW,Curtiss-Wright Corp,0.0403,2026-04-16,2026-04-19
XMMO,FTI,TechnipFMC PLC,0.0338,2026-04-16,2026-04-19
XMMO,RGLD,Royal Gold Inc,0.0301,2026-04-16,2026-04-19
XMMO,FN,Fabrinet,0.0291,2026-04-16,2026-04-19
XMMO,WWD,Woodward Inc,0.028300000000000002,2026-04-16,2026-04-19
XMMO,ATI,ATI Inc,0.0281,2026-04-16,2026-04-19
XMMO,BWXT,BWX Technologies Inc,0.024300000000000002,2026-04-16,2026-04-19
XMMO,FLEX,Flex Ltd,0.0231,2026-04-16,2026-04-19
XMMO,NVT,nVent Electric PLC,0.022099999999999998,2026-04-16,2026-04-19
XMMO,MTZ,MasTec Inc,0.0215,2026-04-16,2026-04-19
PIE,2345,Accton Technology Corp,0.0366,2026-04-16,2026-04-19
PIE,5434,Topco Scientific Co Ltd,0.030899999999999997,2026-04-16,2026-04-19
PIE,2404,United Integrated Services Co Ltd,0.0298,2026-04-16,2026-04-19
PIE,6196,Marketech International Corp,0.028900000000000002,2026-04-16,2026-04-19
PIE,2330,Taiwan Semiconductor Manufacturing Co Ltd,0.0279,2026-04-16,2026-04-19
PIE,6257,Sigurd Microelectronics Corp,0.0274,2026-04-16,2026-04-19
PIE,TISCO-R,Tisco Financial Group PCL,0.0233,2026-04-16,2026-04-19
PIE,6691,Yankey Engineering Co Ltd,0.0231,2026-04-16,2026-04-19
PIE,6515,WinWay Technology Co Ltd,0.0226,2026-04-16,2026-04-19
PIE,ASELS,Aselsan Elektronik Sanayi Ve Ticaret AS,0.020499999999999997,2026-04-16,2026-04-19
SPHQ,COST,Costco Wholesale Corp,0.0478,2026-04-16,2026-04-19
SPHQ,V,Visa Inc,0.0453,2026-04-16,2026-04-19
SPHQ,AAPL,Apple Inc,0.0452,2026-04-16,2026-04-19
SPHQ,MA,Mastercard Inc,0.0451,2026-04-16,2026-04-19
SPHQ,GE,General Electric Co,0.044000000000000004,2026-04-16,2026-04-19
SPHQ,LRCX,Lam Research Corp,0.042800000000000005,2026-04-16,2026-04-19
SPHQ,PG,Procter & Gamble Co/The,0.0348,2026-04-16,2026-04-19
SPHQ,CAT,Caterpillar Inc,0.034,2026-04-16,2026-04-19
SPHQ,CSCO,Cisco Systems Inc,0.0338,2026-04-16,2026-04-19
SPHQ,KLAC,KLA Corp,0.0337,2026-04-16,2026-04-19
RPG,SNDK,Sandisk Corp/DE,0.0506,2026-04-16,2026-04-19
RPG,FIX,Comfort Systems USA Inc,0.0336,2026-04-16,2026-04-19
RPG,CIEN,Ciena Corp,0.028900000000000002,2026-04-16,2026-04-19
RPG,MPWR,Monolithic Power Systems Inc,0.0264,2026-04-16,2026-04-19
RPG,VRT,Vertiv Holdings Co,0.023,2026-04-16,2026-04-19
RPG,HWM,Howmet Aerospace Inc,0.022400000000000003,2026-04-16,2026-04-19
RPG,SATS,EchoStar Corp,0.0222,2026-04-16,2026-04-19
RPG,KLAC,KLA Corp,0.0219,2026-04-16,2026-04-19
RPG,BRK/B,Berkshire Hathaway Inc,0.0219,2026-04-16,2026-04-19
RPG,APH,Amphenol Corp,0.021,2026-04-16,2026-04-19
XLG,NVDA,NVIDIA Corp,0.1333,2026-04-16,2026-04-19
XLG,AAPL,Apple Inc,0.1079,2026-04-16,2026-04-19
XLG,MSFT,Microsoft Corp,0.08539999999999999,2026-04-16,2026-04-19
XLG,AMZN,Amazon.com Inc,0.0666,2026-04-16,2026-04-19
XLG,GOOGL,Alphabet Inc,0.0541,2026-04-16,2026-04-19
XLG,AVGO,Broadcom Inc,0.0524,2026-04-16,2026-04-19
